28;19.23
57;21.2
45;27.98
59;29.07
62;22.28
64;27.29
61;27.05
15;29.81
23;22.14
55;19.01
48;19.84
18;20.83
31;19.88
70;23.38
45;22.84
62;21.0
74;26.92
8;19.6
68;28.84
29;27.33
35;24.47
46;28.04
36;23.4
32;26.7
38;18.75
77;24.11
21;24.25
47;23.79
61;28.49
51;23.1
34;18.66
18;19.85
20;27.51
57;26.74
52;28.61
8;25.36
48;28.34
79;25.5
76;24.58
41;29.76
16;22.86
29;29.13
20;25.23
52;29.72
41;18.66
70;23.51
79;23.52
42;25.75
16;22.25
79;20.55
32;23.81
16;23.82
37;28.65
35;26.45
67;21.1
19;26.4
76;29.61
51;25.17
73;20.85
20;20.3
59;23.75
29;21.51
8;23.49
10;21.94
54;27.44
55;28.43
33;19.79
13;21.32
15;20.46
72;19.49
13;29.49
74;26.45
40;20.66
39;19.18
76;29.99
76;20.01
65;26.86
63;26.5
44;28.03
71;19.32
17;26.05
72;28.93
63;25.25
79;28.52
74;22.13
62;24.27
50;27.6
73;18.82
20;27.92
48;19.64
62;25.8
10;20.86
38;22.43
36;19.46
25;27.87
11;29.8
11;24.24
61;19.35
50;23.55
46;26.06
53;22.46
47;23.31
73;23.87
43;28.61
10;22.71
19;29.86
24;19.64
55;24.12
29;27.08
8;26.07
35;20.11
22;22.0
75;24.82
34;27.8
55;27.55
48;19.6
42;28.68
9;24.98
17;23.14
27;29.68
72;26.77
55;25.04
59;21.49
55;27.4
55;21.93
11;20.46
53;26.49
31;23.32
58;27.53
46;22.41
72;25.85
16;25.41
30;25.66
53;29.59
9;27.26
25;29.8
8;19.3
19;23.61
62;22.98
12;19.73
77;25.37
52;23.41
40;29.25
20;21.35
50;28.39
74;26.93
80;20.1
55;28.05
73;20.09
18;26.54
58;20.24
68;20.73
9;21.51
80;29.92
77;29.99
50;27.05
28;27.58
19;24.13
28;25.78
76;24.28
15;24.52
71;20.55
60;29.05
9;29.34
76;28.32
73;27.27
71;25.68
64;29.99
62;25.92
74;24.29
60;19.31
58;19.09
63;24.36
61;29.54
68;28.87
70;28.6
19;22.09
79;20.86
43;28.65
77;20.61
24;21.41
59;21.92
16;26.19
33;20.34
44;21.38
64;23.26
65;22.32
19;26.06
78;26.16
24;22.69
9;24.93
29;27.28
51;22.09
45;27.82
79;25.6
10;20.74
14;27.63
72;22.25
29;26.03
38;21.4
15;27.92
67;21.82
48;29.0
19;28.84
63;23.75
68;22.87
73;22.37
40;25.36
20;22.96
18;24.38
80;20.69
44;24.71
32;27.87
67;28.21
69;29.99
13;25.47
61;19.62
49;21.8
8;19.02
69;22.64
72;23.63
59;29.78
62;19.35
42;26.0
50;20.84
67;21.09
14;23.65
41;22.97
15;24.94
22;20.32
10;26.04
78;23.77
51;27.23
52;28.34
29;28.94
29;22.65
38;22.83
25;29.76
24;23.82
71;19.61
37;20.01
31;29.25
30;25.0
41;21.37
24;29.46
72;25.02
54;27.84
22;29.71
62;25.3
55;27.81
63;24.97
17;23.76
33;29.56
37;25.14
75;20.57
59;26.26
33;21.4
71;29.06
31;23.39
65;27.17
9;27.82
36;25.28
26;23.39
80;18.97
35;29.43
52;22.03
61;19.01
48;24.85
31;28.67
66;29.49
45;25.96
62;20.02
76;25.42
33;25.96
54;23.21
27;25.63
56;24.37
14;28.46
34;24.22
62;24.04
60;22.55
37;24.06
9;24.81
48;22.62
40;27.34
77;22.68
54;23.37
8;27.38
20;27.58
55;18.92
10;22.84
68;23.05
59;20.92
21;29.89
23;23.65
35;26.41
50;26.05
26;21.4
58;23.77
77;21.65
79;25.97
66;25.4
55;23.41
72;19.7
68;20.53
64;22.04
26;29.45
17;26.18
42;19.86
31;26.06
49;29.98
75;21.57
20;22.59
31;22.02
61;22.0
38;29.15
15;20.88
70;26.5
57;29.22
77;25.71
33;28.22
32;23.9
52;20.82
22;19.22
62;20.09
53;20.85
49;22.92
10;29.52
50;20.35
8;25.59
27;28.11
21;29.38
51;24.02
66;25.66
78;24.91
8;19.87
60;29.32
78;19.79
52;18.69
